% time spent exploring,episodes,mean 100 episode reward,steps
99,20,-0.1,173
99,40,-0.0,357
99,60,-0.1,540
98,80,-0.1,711
98,100,-0.1,903
98,120,-0.1,1075
97,140,-0.1,1258
97,160,-0.1,1460
97,180,-0.1,1646
96,200,-0.0,1817
96,220,-0.0,2002
96,240,0.0,2190
95,260,-0.0,2398
95,280,-0.1,2585
94,300,-0.2,2786
94,320,-0.2,3004
94,340,-0.2,3188
93,360,-0.1,3391
93,380,-0.1,3577
93,400,-0.0,3747
92,420,-0.0,3927
92,440,-0.1,4119
92,460,-0.1,4323
91,480,-0.1,4505
91,500,0.0,4668
91,520,0.0,4851
90,540,0.0,5036
90,560,0.0,5239
90,580,-0.1,5451
89,600,-0.2,5638
89,620,-0.2,5826
89,640,-0.1,6017
88,660,-0.1,6217
88,680,-0.1,6421
88,700,-0.1,6640
87,720,-0.1,6846
87,740,-0.1,7027
